chr	start	end	nCG	meanMethy1	meanMethy2
chr13	70568618	70568970	22	0.223882733670503	0.751414491853652
chr6	105494863	105495281	18	0.70739159494163	0.106538362176778
chr2	178290078	178290413	16	0.79782179556747	0.150063228704323
chr7	128350983	128351270	20	0.841091902994482	0.28500750131953
chr2	99503917	99504166	20	0.252513715294619	0.80488539984484
chr12	12666371	12666788	21	0.690480521668281	0.174487108487995
chr1	109814811	109815043	22	0.759163446835103	0.191212654291288
chr15	72466819	72467118	18	0.218353612711456	0.808649946102468
chr4	62912097	62912439	12	0.766108835481726	0.0499182773636542
chr14	11039418	11039657	22	0.79074949211212	0.25868344889866
chr14	90866815	90867307	20	0.242939874663546	0.820460550086615
chr8	79218944	79219647	19	0.651051142428892	0.106059135359405
chr3	40005875	40006135	22	0.734483567231756	0.223260580584618
chr7	7358548	7359002	20	0.790476452260267	0.248003330644581
chr14	63322298	63322680	16	0.806242799900003	0.170038475475301
chr12	17534422	17534709	20	0.850698205143671	0.311619702565005
chr1	68902065	68902720	15	0.805648454808659	0.0662033342192129
chr2	116062434	116062726	18	0.866960717565333	0.285118895124239
chr11	11230619	11231138	20	0.349552532422279	0.877470874366991
chr16	61481344	61482054	16	0.803307278066956	0.158512509716087
chrX	8026539	8026759	22	0.754789236570383	0.22776166333281
chr15	14055427	14055780	16	0.25061817129182	0.867615762155203
chr1	180313016	180313622	16	0.689639068231303	0.0741367036303484
chr9	102002280	102002591	22	0.399130514030721	0.886848737699204
chr10	46516912	46517433	18	0.599021439114952	0.0502619178649396
chr12	72576247	72576772	19	0.760818927120461	0.203729014100015
chr2	168229840	168230160	24	0.407323353098961	0.880131802116548
chr10	9914264	9914727	18	0.79031265297713	0.201580442111066
chr16	79184858	79185319	20	0.643456057137359	0.113342211662179
chrX	15510254	15510672	20	0.825087824509058	0.270338628044114
chr5	116216700	116217131	18	0.624753191145838	0.0850216639345307
chr2	17667119	17667403	22	0.36574597058302	0.851655794746283
chr3	123113650	123114307	20	0.676081051840405	0.146486943322911
chr8	81559443	81560903	14	0.745234921254861	0.0940669760918225
chr9	82882617	82882788	20	0.714771693580473	0.12964369029014
chr5	5502702	5503138	22	0.681095372398698	0.158550487870635
chr11	34616456	34616663	20	0.202736565900243	0.7807804153906
chr8	116950324	116951146	18	0.60553771971896	0.0641218427882529
chr2	3826534	3826820	23	0.341950726062983	0.845300113419878
chr11	99659081	99659432	18	0.633702075886555	0.0764149947856221
chr6	91535071	91535277	24	0.690479584795637	0.173456119016025
chr1	122271830	122272058	24	0.797867858739408	0.328945475947839
chr12	36258776	36259035	23	0.679044318848969	0.158941000310478
chr6	5990922	5991616	16	0.772426137492765	0.145641373932535
chr5	126705069	126705396	20	0.352474324043281	0.866108300666347
chr10	91922951	91923375	22	0.647464621092296	0.111636854198423
chr11	7578725	7578818	22	0.919125917591514	0.399396132360816
chr17	38921184	38921560	18	0.72043598966064	0.150960675791922
chr14	73407580	73408062	21	0.711268595287704	0.17675306516642
chrX	40671793	40672177	25	0.185373289976282	0.709410073754137
chr15	14280784	14281360	14	0.833448987589262	0.148284065932953
chr13	53357543	53358081	19	0.38004823324944	0.904351044903676
chr5	13102906	13103422	18	0.173124883950944	0.725041738177767
chr6	104728934	104729284	21	0.822817851905019	0.306569503996698
chr2	144780326	144780658	21	0.321212297025512	0.850435747723869
chr8	74002336	74002677	19	0.791818483943037	0.226990320807589
chr11	633536	633916	22	0.638789100301195	0.131253436370968
chr13	39182097	39182459	18	0.180976775839442	0.781912794824011
chr14	94753528	94753756	22	0.282588037387897	0.795890443352502
chr1	9153693	9154112	20	0.340972373273061	0.857166301069516
chr16	28790627	28791219	17	0.254091818939512	0.835609227294676
chr9	46119852	46120138	14	0.166784532062553	0.863275929468291
chr11	34059131	34059638	18	0.739566828376861	0.172654133679897
chr5	35775441	35775914	20	0.336192764056091	0.872709693487944
chr12	53455746	53456139	22	0.291841536096175	0.813575114475533
chrX	94862982	94863579	18	0.697129066712	0.107168902233353
chr12	14707759	14708111	18	0.710473552215994	0.122943997156248
chr16	15478820	15479070	22	0.586448127961061	0.071350813872494
chr9	20694311	20694635	16	0.765254751741212	0.0977223121651914
chr5	19948984	19950119	20	0.728447447670596	0.239445424826926
chr3	51399608	51399983	18	0.769244384443473	0.180860226322603
chr14	50388393	50388651	22	0.717964553651139	0.181596808856075
chr13	85738229	85738682	21	0.749955417047728	0.190781304540367
chrX	26003209	26003414	18	0.865970517990357	0.254800034679711
chrX	9763175	9763407	20	0.816549923655482	0.271025286903821
chr1	144284734	144285198	20	0.723948628019175	0.169192000118737
chr12	3322959	3323302	19	0.737490409915111	0.150020015126886
chr2	51291480	51292166	18	0.754891306383584	0.190817115793595
chr14	102217670	102217935	22	0.754096588173071	0.216429545102392
chr6	2586501	2587729	13	0.102464256269532	0.798309709833442
chr2	106548928	106549410	18	0.275188257312288	0.864703262931774
chr1	25978436	25978558	10	0.852542283769466	0.053551971069246
chr3	63335288	63335718	14	0.755913912829999	0.105028390353793
chr12	69656931	69657165	22	0.861757688698268	0.358278991542395
chr2	170456428	170457132	18	0.637682018470084	0.0915558634649238
chr8	50909957	50910426	18	0.576378072577151	0.051258846308681
chr11	70247679	70247915	22	0.238887779629645	0.760152075553273
chr15	24101301	24101920	18	0.846872196944613	0.26691172950695
chr3	45972758	45973234	16	0.293835614348489	0.902578885377932
chr17	30196889	30197200	20	0.776914315142627	0.227575607857653
chr9	100175154	100175420	20	0.797078321588896	0.249575153799111
chrX	85075938	85076283	20	0.644321657571321	0.110149018898154
chr9	87026805	87027050	22	0.281671848717628	0.78900912867826
chr6	114076651	114077416	18	0.710456376453445	0.131996050370655
chr11	11163516	11163858	20	0.394383622868683	0.902754692307691
chr14	93397172	93397590	16	0.679473172462579	0.0682329337039027
chr10	26318850	26319243	16	0.861940067525397	0.247944595484975
chr6	40383383	40384509	18	0.650414246190584	0.0610098991118003
chr2	191479946	191480492	22	0.245444222256304	0.750946671753728
chr13	39065568	39065811	20	0.139998016447015	0.67839740238237
chr10	55083314	55083890	14	0.809560647031754	0.169097594054546
chr7	87091481	87091809	20	0.707743530211384	0.16554278002483
chr7	26263211	26263755	22	0.761470684205006	0.236147797180318
chr12	3877858	3878170	20	0.68393622025293	0.149008015531157
chr7	38226578	38226930	22	0.367291210863384	0.862701561510491
chr13	33567664	33567980	23	0.44682801474489	0.900058831435577
chr8	13585344	13585587	22	0.22944409279709	0.73893545861995
chr8	81881344	81881774	20	0.771826901625408	0.230679938889143
chr10	3381415	3381642	14	0.211511328051414	0.915603398854252
chr6	112529120	112529603	20	0.759464959141205	0.216115218341329
chr11	68315455	68315810	16	0.76902790326516	0.157530126202279
chr13	70421496	70421917	12	0.910259205094765	0.213566241088953
chr9	64628741	64629147	22	0.844875595240181	0.341261667528412
chr8	105231737	105232347	22	0.673379882784165	0.158484556672367
chr9	82972417	82972771	18	0.636751830008217	0.0760340743830124
chr2	122999564	123000041	14	0.834304343975859	0.182188686641948
chr1	128496168	128496465	18	0.749460482345747	0.157569785855279
chr15	72024809	72025178	18	0.647350995194852	0.10101307058798
chr13	44037341	44037606	23	0.330725097225217	0.820012223748319
chr14	50681280	50681834	22	0.846131340618054	0.341263006341544
chr7	87172468	87172724	23	0.617961320677854	0.134213489647662
chr10	17539309	17539570	21	0.859900584636794	0.325120295936003
chr10	109046011	109046296	22	0.722338434486387	0.197461147424234
chr14	75529500	75529982	18	0.255934757870639	0.827790858277826
chr8	85738986	85739445	21	0.736894816814764	0.177686621641817
chr1	153151728	153152320	21	0.758930128588037	0.214914798828443
chr1	124012458	124012795	18	0.813059412974554	0.225382179389704
chr1	80368691	80369065	18	0.280434695074864	0.871075025963056
chr17	12785952	12786364	20	0.354113896415349	0.883189901677346
chr10	1805095	1805345	22	0.349429849028759	0.836403427584805
chr6	30043281	30043910	18	0.741352203325308	0.184289639385499
chr7	58149807	58150069	22	0.390348655907141	0.872770337213313
chr1	6077215	6077529	18	0.234096250408904	0.844806535800845
chr6	127869552	127869955	18	0.665457536907351	0.0927134153744852
chr20	25612121	25612486	18	0.352500527111974	0.893849329330642
chr12	48585101	48585285	20	0.740411008258236	0.167872841485343
chr4	105537762	105538355	16	0.335847186572974	0.921539044909597
chr1	25491260	25491751	14	0.809890732535983	0.143778957064923
chr8	12154794	12155184	18	0.694048372124354	0.127069727519545
chr3	48885779	48886145	16	0.684717415483758	0.0842247110318974
chr2	14735788	14736078	19	0.670940107033037	0.105582722938834
chr4	38563640	38564150	16	0.810109519436262	0.190454983372099
chr12	69473043	69473185	23	0.469142345994541	0.932221989862219
chr3	73681554	73681940	20	0.561301926592865	0.057626234375401
chr9	15624254	15624616	16	0.699376487088625	0.08227467211874
chr8	23665123	23665573	22	0.306572451131789	0.796392674066595
chrX	91936085	91936484	16	0.768939653432703	0.127886317200137
chr8	14323221	14323547	20	0.168851583738119	0.723212203192796
chr7	139540468	139540712	23	0.736868457527274	0.242618770837273
chr4	78434422	78434742	23	0.720758783072799	0.220704028788667
chr17	16002723	16003034	22	0.610147465929084	0.11503053676482
chr18	12453871	12454055	18	0.895548770975608	0.288118675599221
chr12	8102142	8102436	20	0.269445992185982	0.8243939164332
chr12	12717967	12718165	18	0.681847562530335	0.069922233099288
chr4	48617543	48617892	16	0.799356791533258	0.16159252492998
chr1	119443912	119444532	18	0.714953828939424	0.155047385347483
chr3	136295064	136295325	12	0.173357205923219	0.887103184765876
chr1	165420473	165420710	22	0.803889989343726	0.245283736221013
chr13	4316692	4317068	20	0.291705857052809	0.808518123065314
chr5	6107494	6108011	18	0.781128448410427	0.219890268307513
chr8	43839263	43840009	15	0.154982929524945	0.808624672615954
chr10	72633847	72634229	16	0.696196256944346	0.100241203324358
chr14	7305489	7305948	18	0.270694149666824	0.84346531043048
chr2	36780065	36780458	16	0.734828048214474	0.0944611192669177
chr8	82759714	82760043	22	0.557320208133572	0.0600292032122466
chr2	16935273	16935594	22	0.422696944952239	0.904104319390563
chr20	8583931	8584304	16	0.662760166550887	0.0610987520469487
chr8	67362338	67362610	23	0.419542050187805	0.876075400614569
chr13	79367507	79367810	23	0.699112901175603	0.173056392153336
chr17	1198701	1198908	23	0.608748552173337	0.118251444949251
chr6	37561515	37561926	17	0.187732648953162	0.78208365195928
chr9	45475506	45475940	18	0.802997998331963	0.203918503066201
chr11	30103633	30103862	22	0.694587153501846	0.142820346793565
chr14	104727460	104727723	20	0.288862936074125	0.833176200327838
chr2	63449860	63450013	20	0.377345629377709	0.92305101599939
chr15	29317822	29318593	16	0.770970813591474	0.134861900203123
chr1	193970306	193970648	14	0.863867791918896	0.157771070177814
chr8	72276748	72277295	22	0.277086000604887	0.794631838901901
chr2	1803527	1804414	22	0.809347667058617	0.26980194410541
chr15	72390062	72390320	16	0.831206985134528	0.183246516062327
chr2	6412457	6412699	22	0.720635454131606	0.219352988791906
chr1	105198240	105198704	18	0.309829803034308	0.86368805423991
chr4	28445682	28446008	12	0.832116195672973	0.130222695172781
chr10	26028100	26028457	18	0.893125595210313	0.323290908802354
chr16	19667845	19668310	20	0.331417700679306	0.845650301517431
chr2	134814978	134815362	16	0.710641724851512	0.115908503782526
chr18	2412779	2413107	20	0.743427592681722	0.186887803231848
chr13	58537404	58537804	20	0.302492866962577	0.831559150240189
chr4	96209874	96210474	22	0.767206714842422	0.240288522200962
chr3	81972948	81973440	16	0.782217899990052	0.147074680600902
chr2	197174323	197174749	20	0.721262333991174	0.159081907031964
chr10	31353938	31354462	18	0.870456234343012	0.279395453048737
chr6	94573271	94573803	18	0.74570262613962	0.182067722475358
chr3	78149045	78149413	18	0.336070579814838	0.919578373545222
chr1	57649898	57650145	22	0.560792727257916	0.0952803349514076
chr3	14779413	14780113	21	0.713095338886212	0.168608573287954
chr3	83739637	83740012	22	0.243173808207971	0.743970334410578
chr8	72384280	72384568	22	0.361152935597321	0.848840903515922
chr1	30489483	30490483	16	0.67242648605668	0.074353629885287
chr1	170730767	170731075	18	0.618121009859111	0.0432121262256492
chr5	45235195	45236262	17	0.812458942279173	0.173588796349237
chr10	32242083	32242541	22	0.668876849695231	0.148665972136
chr16	89516991	89517419	23	0.39690230877965	0.875049385976956
chr1	76882611	76882983	20	0.570412077502923	0.059712030664491
chrX	99695431	99695861	19	0.75170861064134	0.181067598089155
chr13	958724	959114	21	0.29059565214703	0.829802381914929
chr11	67934412	67934722	12	0.898636306357892	0.18172881439164
chr3	107971990	107972236	16	0.794112154791397	0.165127566484971
chr8	43534336	43534701	19	0.760933355596151	0.217019829399627
chr10	131535	131770	23	0.655519454233681	0.163250601896513
chr12	18854929	18855268	21	0.236012556741194	0.770120516737954
chr8	86254384	86255231	20	0.322354201048159	0.882990327075901
chr15	3189024	3189290	21	0.250367519760448	0.779962192946809
chr13	66476609	66476810	23	0.421141709251626	0.906515668164044
chr2	169722666	169723021	18	0.325904318513098	0.893821978446774
chr7	23495978	23496785	17	0.25689237756301	0.833887018338072
chr1	99065486	99066048	16	0.753198129602989	0.143087838978311
chr16	40023543	40023762	22	0.580943169087072	0.101029897981061
chr3	57523557	57524432	18	0.841647744745951	0.256259182906752
chr1	177961605	177962256	16	0.769154740412823	0.157302095433717
chr6	58971869	58972308	18	0.763414819744729	0.176722858657875
chr5	84883823	84884182	20	0.757962188445105	0.193472730594288
chr19	29593577	29593962	18	0.783515883939077	0.171896919942746
chr1	56287510	56288073	18	0.738786908223027	0.158048547431151
chr3	40867659	40868635	14	0.832481391939921	0.175867022849212
chr7	88909200	88909429	22	0.399629655759559	0.873679353639462
chr8	93238824	93239070	22	0.242168927361106	0.758049838358324
chr11	106351741	106352359	20	0.363668812956621	0.891147141092772
chr13	48791915	48792162	20	0.701164308212503	0.144957115279397
chr15	2251519	2251798	23	0.623723158727463	0.140759491443326
chr12	6038024	6038455	21	0.313968882444978	0.816318162546901
chr3	69289696	69290223	18	0.77182374617884	0.203890664384197
chr2	101464275	101464543	16	0.729618349578596	0.127469478694103
chr5	11719179	11719611	23	0.573596585415524	0.0928014666035121
chr14	41628124	41628299	21	0.792195966814913	0.246406160807756
chr2	9838213	9838530	20	0.719616754841591	0.167823969306352
chr17	4962664	4962989	14	0.775244435697312	0.126959710283888
chr5	107327051	107327313	20	0.764119148700026	0.184674744141248
chr5	6113227	6113458	20	0.769195500817464	0.232446244828525
chr19	13257817	13258208	18	0.742170137871323	0.167677883341109
chr14	62955670	62956046	22	0.69149841765267	0.180760952671937
chr13	15139028	15139342	22	0.757877772421966	0.253488321940289
chr16	52242261	52242725	21	0.789630929979622	0.249102804856582
chr5	129609846	129610062	12	0.275129871019959	0.969684283215491
chr3	90762556	90763018	20	0.704136937429833	0.161156114450212
chr15	9800717	9801166	20	0.806166477171351	0.262514655543644
chr18	30713938	30714327	20	0.666868156039103	0.142870581888882
chrX	15401432	15401826	14	0.767396385527993	0.0947164160440625
chr15	88202296	88202397	22	0.467958108339532	0.929859785705778
chr2	78652750	78653024	18	0.669998857057	0.0931338945985587
chrX	111012716	111012902	22	0.800067324578705	0.268135691209735
chr8	66701484	66701871	20	0.31031665681309	0.847936926100481
chr8	91593604	91593801	18	0.771104540823691	0.160851199312152
chr2	1946811	1947101	23	0.41153139830968	0.88930761278139
chr11	86085163	86085486	20	0.337589519633506	0.880592734211097
chr14	75392612	75393229	16	0.272660644396053	0.859512441135368
chr8	45394850	45395255	20	0.653204458004216	0.10956194288674
chr13	53133282	53133561	18	0.321208439932973	0.891452596441517
chr16	85771750	85772098	21	0.219087462169755	0.736570749637226
chr1	76597642	76597991	18	0.287678647827863	0.858765272339084
chr16	46276487	46276842	20	0.775831523312168	0.217183224048505
chrX	13466116	13466481	20	0.680396939446058	0.0988651918248927
chr1	125854708	125855027	20	0.604769495492109	0.0767687841617463
chr14	43212366	43212772	22	0.794490075571185	0.285715264411663
chr10	94331187	94331461	22	0.237399573644936	0.754594071968602
chr6	55895828	55896079	21	0.600629108224187	0.0759149900902158
chr9	41928337	41928695	22	0.557108653875218	0.0764346353608846
chr11	45115095	45115347	20	0.363441857564373	0.87709075608542
chr6	124214739	124215335	18	0.805589616323763	0.206575054110327
chr8	100228562	100228953	18	0.830588618062862	0.248120933387474
chr8	100823379	100823886	18	0.286519991008882	0.885735139644708
chr6	47613015	47613246	24	0.789634835905437	0.242109445841635
chr3	136235420	136235750	20	0.64440845318305	0.129278242186349
chr8	54215471	54215855	20	0.40119332674727	0.904550925917325
chr3	71282356	71282764	20	0.724334128165094	0.186848705772748
chr3	57676593	57677108	16	0.361201019914285	0.942161623242507
chr5	39713877	39714187	20	0.707580912226437	0.167901733759095
chr18	23509748	23510051	20	0.251258118512432	0.795865177610318
chr3	85488919	85489456	18	0.238526976814466	0.840944166745571
chr1	70764062	70764443	21	0.269043052794508	0.781169533583311
chr6	123656537	123656814	22	0.631952485021705	0.0920439108775167
chr4	11859368	11859778	22	0.338948476285685	0.839005883245717
chr14	100328920	100329388	18	0.2816518425516	0.849262421377805
chr3	68595014	68595440	14	0.796442181737017	0.147890630864814
chr2	55158993	55159634	18	0.829742714097861	0.273662192274723
chr1	81797270	81797669	22	0.641504859586201	0.147051083057081
chr16	11263949	11264423	19	0.687954000227767	0.153716527620282
chr7	39687534	39688055	16	0.8228311392891	0.215258437354658
chr14	31685431	31685900	18	0.680827102530741	0.0977018382523104
chr14	3136515	3136993	21	0.245531150318685	0.782278231211103
chr7	102625538	102625838	16	0.73592304959119	0.124918238405992
chr14	26954853	26955377	20	0.777822767635777	0.227494530058486
chr8	119835372	119835682	18	0.669261585666904	0.0738544042970022
chr8	63007271	63007462	22	0.438459036608638	0.902506657762326
chr7	24366180	24366578	18	0.811575242859864	0.24570358610672
chr15	15337855	15338129	21	0.606925915673711	0.110202921611193
chr1	78928840	78929352	18	0.781870470644006	0.174030496601167
chr2	106575984	106576379	12	0.800019135684613	0.081222029371228
chr8	79223683	79223947	16	0.751033799316078	0.127187622765255
chr5	82371505	82371804	22	0.0918269445547963	0.564584961459566
chr16	73304848	73305065	23	0.764541483723798	0.239393468737559
chr5	29379512	29379846	18	0.648905688461248	0.0954770267426718
chr11	5456567	5456695	20	0.317104531091456	0.868518220345131
chr5	42708828	42708941	22	0.209900721374986	0.716671423925074
chr10	97482363	97482674	18	0.298222372273298	0.870016122707902
chr4	115152687	115152976	22	0.136297486303746	0.622423551264321
chr11	109360182	109360402	24	0.73651798072495	0.250029752543199
chr6	68436256	68436658	21	0.840830888848094	0.326057151611296
chr2	14233013	14233251	22	0.795900654083993	0.269282665635689
chr5	112271266	112271702	18	0.859485361843362	0.289169377966778
chr1	131884131	131884335	13	0.838714728295007	0.09484353333481
chr5	3111172	3111555	16	0.762539206005732	0.139658327948503
chr2	78802794	78803137	21	0.750046377645831	0.206492131272616
chr3	86620663	86621081	16	0.241096116111162	0.860752934427403
chr5	30674775	30675226	16	0.897902462717231	0.282069482380354
chr4	87013781	87013949	12	0.866011049282979	0.115542745536825
chr7	10210019	10210328	18	0.657474067406066	0.110020828643956
chr2	106772642	106772930	14	0.788897650638091	0.119967330716926
chr2	28300159	28300495	22	0.612773414551452	0.125844760445184
chrX	39142335	39142629	22	0.230661816956919	0.756151677282291
chr14	92001635	92001996	20	0.734384964469943	0.189854902847417
chr2	102184840	102185278	22	0.698836451610674	0.167469019162733
chr13	54738990	54739314	23	0.594781669480642	0.0973277387331048
chr7	26687308	26687765	14	0.759932374021987	0.0925576533060902
chr1	119299537	119299822	16	0.703790389261547	0.0801182122597898
chr1	159348342	159348616	19	0.566183036300221	0.052815665704404
chr6	127851313	127851498	22	0.722296934191723	0.207904101971354
chr12	2168378	2168741	18	0.683042692074531	0.127962206838477
chr1	58561464	58561660	22	0.531863833447821	0.0720989325099268
chr13	7072272	7072718	20	0.74461076419735	0.1849468894705
chrX	7952765	7953044	18	0.750374441388068	0.170653049423746
LNAT02009346	1294	1592	16	0.270526033037554	0.871637641848027
chr9	97975227	97975609	18	0.759266246480208	0.148763311860658
chr3	72215887	72216169	20	0.852850767533873	0.31149968085477
chr14	51349933	51350436	21	0.715098100639432	0.209594137668659
chr10	24364155	24364422	16	0.752686776721128	0.127942043074821
chr3	139072062	139072406	18	0.165071951250854	0.745142982616431
chr15	32247781	32248244	18	0.653849555269885	0.102349634571036
chr16	90439529	90439694	23	0.343325049977394	0.836093792282072
chrX	6956159	6956443	20	0.35885860832893	0.876884840083849
chr6	124158995	124159230	22	0.270155564688922	0.800706915672582
chr18	13443840	13444198	18	0.709000053561123	0.132880087539837
chr13	31067875	31068157	18	0.234994230334916	0.823080615633638
chr4	26841454	26841950	20	0.216548163693204	0.772663132685002
chr1	175151384	175152020	16	0.779631048748106	0.150702717216825
chr5	110825227	110825742	20	0.372550847835936	0.87166170308308
chr8	53685682	53686076	14	0.712807412437101	0.0713887169112612
chr9	21887205	21887791	20	0.576269121395437	0.0555210809506457
chr4	97242618	97242947	16	0.221664442868834	0.848780783435157
chr13	59304222	59304575	14	0.164667218685009	0.858534578187392
LNAT02000349	539	1049	15	0.773481607888098	0.14716543672822
chr6	19406521	19406760	22	0.863600862557159	0.32651193543578
chr1	198621083	198621167	14	0.917459185540561	0.224828927925029
chr5	40197661	40198044	18	0.370149350782874	0.919685520921179
chr13	14142645	14142999	18	0.344388539093054	0.920862326091917
chr16	43871333	43871715	21	0.385761840032927	0.884606733396558
chr12	41660126	41660285	20	0.844360208528158	0.293816122864873
chr15	83626800	83627084	22	0.625535678475451	0.116845352005669
chr3	80383381	80384356	16	0.723754136178174	0.104004092815286
chr5	49433056	49433453	19	0.797759826992797	0.238257467436719
chr16	68423669	68424136	18	0.80924263266935	0.214276491756395
chr4	11935795	11936051	22	0.376333156906893	0.8400293812568
chr8	37148647	37149020	20	0.739052565366031	0.199692733637708
chr15	29091786	29092219	18	0.364907549421248	0.911941395144188
chr20	29260288	29260563	16	0.845080891460687	0.201804534231741
chr2	64242676	64243059	19	0.704097828530309	0.157609894155084
chr1	142850165	142850540	12	0.738448440678914	0.0636275842698571
chr2	87717484	87717703	18	0.399242136694694	0.933655601194164
chr6	119943207	119943502	22	0.63991729223336	0.128006108141002
chr20	25964088	25964547	20	0.607835572136799	0.10689256747957
chr9	96233012	96233482	14	0.743445043224411	0.0961400577023898
chr4	23472581	23472910	18	0.31646424691011	0.895668315646793
chr6	12641157	12641387	18	0.79210066161636	0.229332645115798
chr6	120159879	120160425	18	0.704507926292185	0.107309685418067
chr1	201990956	201991240	22	0.298112461688331	0.798203006152384
chr14	16323688	16324034	21	0.855610560169949	0.340935353720766
chr1	25809753	25810105	18	0.6138942835121	0.0646434330462699
chr7	57662250	57662492	23	0.638027654978807	0.156923724034881
chr6	122868521	122868758	20	0.857405801173662	0.293464384753223
chr4	132357412	132357839	18	0.329877521096426	0.881168662167661
chr5	32379553	32379851	20	0.661737082693751	0.139295908539953
chr20	11448667	11448876	18	0.728070369487304	0.129608072256566
chr3	111566847	111567528	16	0.282787266047586	0.867547376864929
chr16	66663357	66664040	18	0.68341287688237	0.134998832584242
chr17	506208	506410	22	0.398784581995962	0.878036194038361
chr18	22662555	22662733	12	0.907121938070015	0.14035872242179
chr8	96811314	96811566	22	0.426640986004127	0.894478100420246
chr18	31171544	31171832	17	0.740119274036441	0.122067065464494
chr8	86543363	86543577	12	0.90399239778496	0.177354156322811
chr7	124135290	124135689	14	0.677426591894035	0.0369881899886955
chr5	29920791	29921279	16	0.839729671588319	0.236794346675626
chr9	48560539	48561307	18	0.735955862780122	0.161686546397996
chr2	99494656	99494838	22	0.866761687673522	0.385474256031405
chr2	126975049	126975324	14	0.695142673415309	0.0325819529628485
chr12	49661696	49662168	20	0.850279225990028	0.294969305817918
chr13	38089042	38089321	20	0.857429963687149	0.328380124608534
chr1	50558424	50558698	16	0.715639741738151	0.0894145537709854
chr5	30873606	30874104	14	0.21596305606901	0.916486075253167
chr4	15626791	15627014	23	0.332220716484849	0.820849291289606
chr13	16417401	16417819	20	0.228727732387935	0.773348615161882
chr10	22948993	22949623	14	0.215228930801617	0.881814807293382
chr14	88336735	88337547	16	0.696373172262221	0.0911845821754967
chr3	45574395	45574802	19	0.324588924170295	0.87875939222915
chrX	5750343	5750532	21	0.429575768524501	0.914890158780693
chr3	23131258	23131538	22	0.310505978267334	0.810270707791856
chr1	145747793	145748174	14	0.815416613405706	0.157332381527574
chr20	604059	604558	20	0.282445839383144	0.816656802025232
chr2	147740811	147741114	18	0.768211146689592	0.139546164562232
chr11	45192205	45192611	19	0.858602825794992	0.309907809408795
chr6	117397429	117397751	20	0.741127662562388	0.184046144975059
chrX	7266934	7267110	20	0.26062196932749	0.826559792336608
chr1	205345110	205345371	20	0.879340254211052	0.324860814909165
chr5	104335795	104336440	18	0.733427097312062	0.16113597364347
chr1	207561671	207561985	16	0.902958898092737	0.277991764130846
chr5	38452565	38452927	16	0.244122681494239	0.857993871386567
chr7	675729	675917	20	0.834304324693437	0.228843150535695
chr6	21905784	21906077	20	0.803472046382839	0.254570286445209
chr16	90678958	90679346	20	0.264651631821987	0.818090063590719
chr7	138163511	138163633	22	0.266094251084904	0.77329540242943
chr1	110038379	110038642	18	0.760593311174451	0.144829966067989
chr8	14440836	14441078	22	0.436557513538937	0.902620874772785
chr9	102672430	102672663	22	0.285682481210032	0.815849647382995
chr10	95760123	95760425	20	0.251619796785118	0.777808137329336
chr20	15361802	15362109	21	0.395550539166165	0.875514817350882
chr16	41378605	41378791	18	0.773572727526054	0.164476863654697
chr9	14738027	14738697	20	0.581726736356753	0.06313498608848
chr5	93671086	93671466	19	0.378817352388215	0.903132274944103
chr6	15596809	15597170	13	0.796365041381261	0.0791704272121739
chr15	71054823	71055310	21	0.227362782333881	0.745420290486373
chr1	28495089	28495544	20	0.609734700432436	0.0675042794115928
chr5	20284659	20284904	21	0.756095045299601	0.209014174229402
chr6	118391422	118392074	18	0.314305433572496	0.859852671100667
chr6	116733382	116733801	16	0.722786154802014	0.0967897001670351
chr15	60880234	60880566	20	0.32162247713752	0.834542941846454
chr3	16888619	16888997	14	0.843802484912189	0.16314608412397
chr10	3767204	3767472	22	0.368514766220006	0.862147901921916
chr3	143353185	143353570	20	0.594820828404503	0.106734422602095
chr15	2363623	2363944	21	0.684638221486186	0.136355617572799
chr1	92834961	92835405	14	0.272696717986231	0.924633791000827
chr19	5231859	5232252	20	0.412710597437682	0.912801583819629
chr14	10180527	10181001	20	0.70123754287602	0.172366305600983
chr7	71573649	71573921	18	0.874848591360746	0.294155763614205
chr6	89769944	89770282	22	0.374533150730701	0.854934722532206
chr7	83440475	83440806	18	0.30628555691066	0.869244708124536
chr6	11684085	11684418	14	0.745337672908634	0.086244405350441
chr7	85948917	85949290	14	0.734260763399929	0.0737002237807878
chr2	82949845	82950273	16	0.755781747372697	0.14962975972425
chr11	98450446	98450746	20	0.41616181713611	0.91394709877916
chr11	9576014	9576323	20	0.758246044223776	0.223513786732741
chr15	77219881	77220284	18	0.340779928444385	0.890399742696151
chr8	92778970	92779549	16	0.81597364467951	0.190337852197306
chr4	140668512	140668999	20	0.69641534764821	0.179590754495827
chr18	37362288	37362593	16	0.816083835826414	0.187009240836204
chr2	22632187	22632416	22	0.766703524451042	0.257092078485995
chr15	87070035	87070246	20	0.421777895694708	0.918473650890415
chr15	22485209	22485620	20	0.340938727699217	0.872927838191731
chr4	29174247	29174646	18	0.58588496626142	0.0522979344102823
chr9	41287269	41288060	20	0.683873789291619	0.166110124840734
chr2	31576849	31577366	17	0.707941736049401	0.138328921037385
chr11	9915282	9915516	20	0.346275462923208	0.879494573421668
chr1	107227252	107227595	18	0.287913053238491	0.861661037227246
chr10	49465133	49466094	16	0.629573271473615	0.0595389860515968
chr10	29691521	29691658	20	0.353191986741333	0.883403107150428
chr1	2681250	2681464	23	0.210359815666963	0.694450290721459
