Review Found	Author	Title	Year	Global Region	Country 	Location	PCR N Tested	PCR N Positive	% PCR  Positive	Microscopy N Tested	Microscopy N Positive	% Microscopy  Positive	Historical Transmission	Current Transmission	Setting_20	Setting_15	Setting_10	Setting_5	PCR_Method	Microscopy_Fields	Sampling_Season	Notes
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kilgoris (Rift Valley)	204	4	1.96	204	1	0.49	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Kitale (Rift Valley)	382	16	4.19	378	3	0.79	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Lpali* (Western)	217	45	20.74	217	45	20.74	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Luanda (Nyanza)	237	27	11.39	245	4	1.63	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Lugulu (Western)	230	78	33.91	230	3	1.30	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Malava  (Western)	227	28	12.33	229	3	1.31	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Marindi (Nyanza)	225	39	17.33	226	20	8.85	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Mayanja (Western)	218	73	33.49	218	9	4.13	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Miwanii (Nyanza)	135	60	44.44	58	5	8.62	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Mukhobola  (Nyanza)	398	142	35.68	398	134	33.67	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Mwihilia (Western)	206	45	21.84	207	8	3.86	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Ngiya (Nyanza)	226	100	44.25	226	40	17.70	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Nyamira  (Nyanza)	247	2	0.81	250	2	0.80	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Oseiko  (Nyanza)	237	55	23.21	237	51	21.52	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Paulo  (Nyanza)	189	17	8.99	201	2	1.00	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Port Victoria (Western)	593	167	28.16	593	163	27.49	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Ruambwa (Western)	211	75	35.55	219	71	32.42	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Sarora (Rift Valley)	267	17	6.37	285	8	2.81	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Sega (Nyanza)	221	58	26.24	221	58	26.24	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	Originally had prevalence ratio >1 (59 LM +ves). Have scaled down to produce prevalence ratio of 1.
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Shitsitswi (Western)	223	112	50.22	224	8	3.57	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Sikubale (Western)	133	22	16.54	133	16	12.03	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Simenya (Nyanza)	254	104	40.94	254	83	32.68	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Sio Port* (Western)	210	59	28.10	210	59	28.10	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Soy (Rift Valley)	195	29	14.87	198	1	0.51	0.1386	0.0234	Low_Low	Low_Low	High_Low	High_Low	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Webuye (Western)	416	17	4.09	416	1	0.24	0.4866	0.1315	High_Low	High_Low	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Lo	Low parasitemia in submicroscopic infections significantly impacts malaria diagnostic sensitivity in the highlands of Western Kenya.	2015	East Africa	Kenya	Yala* (Nyanza)	205	61	29.76	205	61	29.76	0.3346	0.1047	High_Low	High_Low	High_High	High_High	Nested	100	Wet	Originally had prevalence ratio >1 (62 LM +ves). Have scaled down to produce prevalence ratio of 1.
Whittaker et al.	Saenz	Malaria epidemiology in low-endemicity areas of the northern coast of Ecuador: high prevalence of asymptomatic infections	2017	South America	Ecuador	Esmerelda Province	648	4	0.62	648	0	0.00	NA	NA	NA	NA	NA	NA	qPCR	NA	NA	
Whittaker et al.	Parker 	Microgeography and molecular epidemiology of malaria at the Thailand-Myanmar border in the malaria pre-elimination phase	2015	Asia&Oceania	Thailand	Moei River Area	547	20	3.66	547	2	0.37	NA	NA	NA	NA	NA	NA	Nested	NA	NA	Local microscopy not expert microscopy results used
Whittaker et al.	Baum	Submicroscopic and asymptomatic Plasmodium falciparum and Plasmodium vivax infections are common in western Thailand - molecular and serological evidence	2015	Asia&Oceania	Thailand	Tak Province	219	8	3.65	219	0	0.00	NA	NA	NA	NA	NA	NA	qPCR	200	Dry	
Whittaker et al.	Tadesse	Submicroscopic carriage of Plasmodium falciparum and Plasmodium vivax in a low endemic area in Ethiopia where no parasitaemia was detected by microscopy or rapid diagnostic test	2015	East Africa	Ethiopia	Malo	257	15	5.84	257	0	0.00	0.047	0.0039	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Dry	
Whittaker et al.	Tadesse	Submicroscopic carriage of Plasmodium falciparum and Plasmodium vivax in a low endemic area in Ethiopia where no parasitaemia was detected by microscopy or rapid diagnostic test	2015	East Africa	Ethiopia	Malo	298	14	4.70	298	0	0.00	0.047	0.0039	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Dry	
Whittaker et al.	Daou	Protection of Malian children from clinical malaria is associated with recognition of multiple antigens.	2015	West Africa	Mali	Kati District	98	77	78.57	98	27	27.55	0.4703	0.2656	High_High	High_High	High_High	High_High	Nested	NA	Wet	
Whittaker et al.	Daou	Protection of Malian children from clinical malaria is associated with recognition of multiple antigens.	2015	West Africa	Mali	Kati District	94	41	43.62	99	20	20.20	0.4703	0.2656	High_High	High_High	High_High	High_High	Nested	NA	Wet	
Whittaker et al.	Amoah (15:101)	Plasmodium falciparum histidine rich protein-2 diversity and the implications for PfHRP 2: based malaria rapid diagnostic tests in Ghana	2016	West Africa	Ghana	Greater Accra Region	291	205	70.45	291	120	41.24	0.3588	0.1379	High_Low	High_Low	High_High	High_High	Nested	NA	Dry	
Whittaker et al.	Amoah (15:101)	Plasmodium falciparum histidine rich protein-2 diversity and the implications for PfHRP 2: based malaria rapid diagnostic tests in Ghana	2016	West Africa	Ghana	Central Region	267	110	41.20	267	2	0.75	0.5451	0.3525	High_High	High_High	High_High	High_High	Nested	NA	Dry	
Whittaker et al.	Dinko	Persistent detection of Plasmodium falciparum, P. malariae, P. ovale curtisi and P. ovale wallikeri after ACT treatment of asymptomatic Ghanaian school-children	2013	West Africa	Ghana	Ashanti Region	270	207	76.67	270	165	61.11	0.4023	0.3873	High_High	High_High	High_High	High_High	Nested	100	NA	
Whittaker et al.	Fancony 	Performance of microscopy and RDTs in the context of a malaria prevalence survey in Angola: a comparison using PCR as the gold standard	2013	West Africa	Angola	Bengo Province	3307	525	15.88	3307	525	15.88	0.3728	0.1222	High_Low	High_Low	High_High	High_High	Nested	NA	Wet	
Whittaker et al.	Li	Nested PCR detection of malaria directly using blood filter paper samples from epidemiological surveys	2014	Asia&Oceania	Myanmar	Northeast Region	638	4	0.63	638	4	0.63	NA	NA	NA	NA	NA	NA	Nested	100	NA	Originally has prevalence ratio > 1 (5 LM +ves). Have scaled down to produce a prevalence ratio of 1.
Whittaker et al.	Li	Nested PCR detection of malaria directly using blood filter paper samples from epidemiological surveys	2014	Asia&Oceania	Thailand	Western Region	1070	17	1.59	1070	1	0.09	NA	NA	NA	NA	NA	NA	Nested	100	NA	
Whittaker et al.	Congpuong	Mass blood survey for malaria: pooling and real-time PCR combined with expert microscopy in north-west Thailand	2012	Asia&Oceania	Thailand	Mae Hong Son	475	4	0.84	475	0	0.00	NA	NA	NA	NA	NA	NA	qPCR	NA	NA	
Whittaker et al.	Lek	National Malaria Prevalence in Cambodia: Microscopy Versus Polymerase Chain Reaction Estimates	2016	Asia&Oceania	Cambodia	Whole country 	7707	340	4.41	7707	143	1.86	NA	NA	NA	NA	NA	NA	Nested	200	Wet	
Whittaker et al.	Cistero	Data from presented poster	2011	East Africa	Mozambique	Maputo Province	95	63	66.32	95	51	53.68	0.6098	0.0787	High_Low	High_Low	High_Low	High_High	qPCR	NA	NA	
Whittaker et al.	Tiedje	Seasonal Variation in the Epidemiology of Asymptomatic Plasmodium falciparum Infections across Two Catchment Areas in Bongo District, Ghana	2017	West Africa	Ghana	Bongo District	545	368.9789123	67.70	901	356	39.51	0.6532	0.6762	High_High	High_High	High_High	High_High	Nested	NA	Wet	Have assumed all microscopy positives would be PCR positive and included them in the number of PCR sampled in order to calculate the prevalence. Have then used that prevalence percentage, but with the number of people actually sampled, to make the estimate conservtive. 
Whittaker et al.	Tiedje	Seasonal Variation in the Epidemiology of Asymptomatic Plasmodium falciparum Infections across Two Catchment Areas in Bongo District, Ghana	2017	West Africa	Ghana	Bongo District	547	443.6777778	81.11	999	452	45.25	0.6532	0.6762	High_High	High_High	High_High	High_High	Nested	NA	Wet	Have assumed all microscopy positives would be PCR positive and included them in the number of PCR sampled in order to calculate the prevalence. Have then used that prevalence percentage, but with the number of people actually sampled, to make the estimate conservtive. 
Whittaker et al.	Tiedje	Seasonal Variation in the Epidemiology of Asymptomatic Plasmodium falciparum Infections across Two Catchment Areas in Bongo District, Ghana	2017	West Africa	Ghana	Bongo District	655	271.3571429	41.43	910	255	28.02	0.6532	0.5926	High_High	High_High	High_High	High_High	Nested	NA	Dry	Have assumed all microscopy positives would be PCR positive and included them in the number of PCR sampled in order to calculate the prevalence. Have then used that prevalence percentage, but with the number of people actually sampled, to make the estimate conservtive. 
Whittaker et al.	Tiedje	Seasonal Variation in the Epidemiology of Asymptomatic Plasmodium falciparum Infections across Two Catchment Areas in Bongo District, Ghana	2017	West Africa	Ghana	Bongo District	700	303.9665971	43.42	958	258	26.93	0.6532	0.5926	High_High	High_High	High_High	High_High	Nested	NA	Dry	Have assumed all microscopy positives would be PCR positive and included them in the number of PCR sampled in order to calculate the prevalence. Have then used that prevalence percentage, but with the number of people actually sampled, to make the estimate conservtive. 
Whittaker et al.	Tadesse	The Relative Contribution of Symptomatic and Asymptomatic Plasmodium vivax and Plasmodium falciparum Infections to the Infectious Reservoir in a Low-Endemic Setting in Ethiopia.	2017	East Africa	Ethiopia	Oromia Region	490	45	9.18	490	16	3.27	0.0318	0.0021	Low_Low	Low_Low	Low_Low	Low_Low	Nested	100	Wet	
Whittaker et al.	Goncalves	Examining the human infectious reservoir for Plasmodium falciparum malaria in areas of differing transmission intensity.	2017	West Africa	Burkina Faso	Laye 	198	100	50.51	197	51	25.89	0.8041	0.4435	High_High	High_High	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Goncalves	Examining the human infectious reservoir for Plasmodium falciparum malaria in areas of differing transmission intensity.	2017	West Africa	Burkina Faso	Balonghin	198	166	83.84	199	104	52.26	0.7472	0.4934	High_High	High_High	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Goncalves	Examining the human infectious reservoir for Plasmodium falciparum malaria in areas of differing transmission intensity.	2017	East Africa	Kenya	Killifi	139	52	37.41	139	9	6.47	0.3424	0.1372	High_Low	High_Low	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Goncalves	Examining the human infectious reservoir for Plasmodium falciparum malaria in areas of differing transmission intensity.	2017	East Africa	Kenya	Killifi	274	105	38.32	274	47	17.15	0.3424	0.1372	High_Low	High_Low	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Blantyre	708	57	8.05	692	26	3.76	0.4511	0.1844	High_Low	High_High	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Blantyre	846	43	5.08	843	15	1.78	0.4511	0.1844	High_Low	High_High	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Blantyre	945	86	9.10	946	64	6.77	0.4511	0.1174	High_Low	High_Low	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Blantyre	477	26	5.45	478	17	3.56	0.4511	0.1174	High_Low	High_Low	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Blantyre	997	85	8.53	996	38	3.82	0.4511	0.1084	High_Low	High_Low	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Blantyre	1041	54	5.19	1062	31	2.92	0.4511	0.1084	High_Low	High_Low	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Chikhwawa	887	230	25.93	855	141	16.49	0.4511	0.1844	High_Low	High_High	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Chikhwawa	1028	211	20.53	1000	102	10.20	0.4511	0.1844	High_Low	High_High	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Chikhwawa	1105	337	30.50	1106	240	21.70	0.4511	0.1174	High_Low	High_Low	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Chikhwawa	1056	199	18.84	1081	132	12.21	0.4511	0.1174	High_Low	High_Low	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Chikhwawa	1043	361	34.61	1040	246	23.65	0.4511	0.1084	High_Low	High_Low	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Chikhwawa	1125	240	21.33	1126	139	12.34	0.4511	0.1084	High_Low	High_Low	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Thyolo	776	118	15.21	754	88	11.67	0.4511	0.1844	High_Low	High_High	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Thyolo	967	99	10.24	958	47	4.91	0.4511	0.1844	High_Low	High_High	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Thyolo	1027	155	15.09	1053	106	10.07	0.4511	0.1174	High_Low	High_Low	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Thyolo	993	76	7.65	992	35	3.53	0.4511	0.1174	High_Low	High_Low	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Thyolo	960	149	15.52	960	86	8.96	0.4511	0.1084	High_Low	High_Low	High_High	High_High	qPCR	100	Wet	
Whittaker et al.	Walldorf	School-Age Children Are a Reservoir of Malaria Infection in Malawi.	2015	East Africa	Malawi	Thyolo	1030	104	10.10	1030	57	5.53	0.4511	0.1084	High_Low	High_Low	High_High	High_High	qPCR	100	Dry	
Whittaker et al.	Mwesigwa	On-going malaria transmission in The Gambia despite high coverage of control interventions: a nationwide cross-sectional survey	2015	West Africa	The Gambia	Central River Region	1676	53	3.16	1676	18.70588235	1.12	0.4083	0.0185	High_Low	High_Low	High_Low	High_Low	Nested	200	Dry	Only PCR +ves tested by microscopy, assume all PCR negatives are also microscopy negative. Not all PCR |+ves tested by microscopy, so scale up calculated prevalence on the tested subset.
Whittaker et al.	Mwesigwa	On-going malaria transmission in The Gambia despite high coverage of control interventions: a nationwide cross-sectional survey	2015	West Africa	The Gambia	West Coast	1227	53	4.32	1227	8.627906977	0.70	0.1522	0.0284	Low_Low	High_Low	High_Low	High_Low	Nested	200	Dry	Only PCR +ves tested by microscopy, assume all PCR negatives are also microscopy negative. Not all PCR |+ves tested by microscopy, so scale up calculated prevalence on the tested subset.
Whittaker et al.	Li	Nested PCR detection of malaria directly using blood filter paper samples from epidemiological surveys	2014	Asia&Oceania	Myanmar	NA	638	4	0.63	638	4	0.63	NA	NA	NA	NA	NA	NA	Nested	100	NA	Prev ratio > 1 so scaled down to 1
Whittaker et al.	Li	Nested PCR detection of malaria directly using blood filter paper samples from epidemiological surveys	2014	Asia&Oceania	Thailand	NA	1070	17	1.59	1070	1	0.09	NA	NA	NA	NA	NA	NA	Nested	100	NA	
Whittaker et al.	Adu	Microscopic and Submicroscopic Asymptomatic Plasmodium falciparum Infections in Ghanaian Children and Protection against Febrile Malaria	2020	West Africa	Ghana	Greater Accra	303	29	9.57	303	14	4.62	0.3588	0.1379	High_Low	High_Low	High_High	High_High	RT-PCR	200	NA	
Whittaker et al.	Adu	Microscopic and Submicroscopic Asymptomatic Plasmodium falciparum Infections in Ghanaian Children and Protection against Febrile Malaria	2020	West Africa	Ghana	Greater Accra	166	30	18.07	166	15	9.04	0.3588	0.1379	High_Low	High_Low	High_High	High_High	RT-PCR	200	NA	
Whittaker et al.	Adu	Microscopic and Submicroscopic Asymptomatic Plasmodium falciparum Infections in Ghanaian Children and Protection against Febrile Malaria	2020	West Africa	Ghana	Greater Accra	179	13	7.26	179	4	2.23	0.3588	0.1379	High_Low	High_Low	High_High	High_High	RT-PCR	200	NA	
Whittaker et al.	Adu	Microscopic and Submicroscopic Asymptomatic Plasmodium falciparum Infections in Ghanaian Children and Protection against Febrile Malaria	2020	West Africa	Ghana	Greater Accra	101	3	2.97	101	2	1.98	0.3588	0.1379	High_Low	High_Low	High_High	High_High	RT-PCR	200	NA	
Whittaker et al.	Adu	Microscopic and Submicroscopic Asymptomatic Plasmodium falciparum Infections in Ghanaian Children and Protection against Febrile Malaria	2020	West Africa	Ghana	Greater Accra	24	2	8.33	24	2	8.33	0.3588	0.1379	High_Low	High_Low	High_High	High_High	RT-PCR	200	NA	
Whittaker et al.	Adu	Microscopic and Submicroscopic Asymptomatic Plasmodium falciparum Infections in Ghanaian Children and Protection against Febrile Malaria	2020	West Africa	Ghana	Greater Accra	75	12	16.00	75	9	12.00	0.3588	0.1379	High_Low	High_Low	High_High	High_High	RT-PCR	200	NA	
Whittaker et al.	Almeida	High proportions of asymptomatic and submicroscopic Plasmodium vivax infections in a peri-urban area of low transmission in the Brazilian Amazon	2018	South America	Brazil	NA	2010	15	0.75	2010	11	0.55	NA	NA	NA	NA	NA	NA	qPCR	200	Wet	
Whittaker et al.	Amoah	Probing the composition of Plasmodium species contained in malaria infections in the Eastern region of Ghana	2019	West Africa	Ghana	Eastern	729	465	63.79	729	192	26.34	0.6072	0.3159	High_High	High_High	High_High	High_High	Nested	200	NA	
Whittaker et al.	Arwati	Submicroscopic malaria cases play role in local transmission in Trenggalek district, East Java Province, Indonesia	2018	Asia&Oceania	Indonesia	NA	64	2	3.13	64	0	0.00	NA	NA	NA	NA	NA	NA	RT-PCR	NA	Dry	
Whittaker et al.	Assefa	Assessment of subpatent Plasmodium infection in northwestern Ethiopia	2020	East Africa	Ethiopia	Benshangul-Gumaz	2608	80	3.07	2605	25	0.96	0.0258	0.0027	Low_Low	Low_Low	Low_Low	Low_Low	Nested	NA	NA	
Whittaker et al.	Berzosa	Comparison of three diagnostic methods (microscopy, RDT, and PCR) for the detection of malaria parasites in representative samples from Equatorial Guinea	2018	West Africa	Equatorial Guinea	Litoral	1724	763	44.26	1724	571	33.12	0.625	0.3132	High_High	High_High	High_High	High_High	Semi-Nested	NA	Dry	
Whittaker et al.	Carrasco-Escobar	High prevalence of very-low Plasmodium falciparum and Plasmodium vivax parasitaemia carriers in the Peruvian Amazon: insights into local and occupational mobility-related transmission	2017	South America	Peru	NA	450	22	4.89	450	1	0.22	NA	NA	NA	NA	NA	NA	qPCR	500	Dry	
Whittaker et al.	Zhao	Risk factors for asymptomatic malaria infections from seasonal cross-sectional surveys along the China-Myanmar border	2018	Asia&Oceania	Myanmar	NA	578	22	3.81	578	0	0.00	NA	NA	NA	NA	NA	NA	RT-PCR	NA	Wet	
Whittaker et al.	Zhao	Risk factors for asymptomatic malaria infections from seasonal cross-sectional surveys along the China-Myanmar border	2018	Asia&Oceania	Myanmar	NA	586	19	3.24	586	0	0.00	NA	NA	NA	NA	NA	NA	RT-PCR	NA	Dry	
Whittaker et al.	Woldearegai	Characterization of Plasmodium infections among inhabitants of rural areas in Gabon	2019	West Africa	Gabon	Ngounié	834	590	70.74	834	311	37.29	0.3943	0.2707	High_High	High_High	High_High	High_High	qPCR	NA	NA	
Whittaker et al.	Vareta	Submicroscopic malaria infection is not associated with fever in cross-sectional studies in Malawi	2020	East Africa	Malawi	Southern Region	5333	502	9.41	5333	193	3.62	NA	NA	NA	NA	NA	NA	RT-PCR	NA	NA	
Whittaker et al.	Vareta	Submicroscopic malaria infection is not associated with fever in cross-sectional studies in Malawi	2020	East Africa	Malawi	Southern Region	5830	1755	30.10	5830	966	16.57	NA	NA	NA	NA	NA	NA	RT-PCR	NA	NA	
Whittaker et al.	Vareta	Submicroscopic malaria infection is not associated with fever in cross-sectional studies in Malawi	2020	East Africa	Malawi	Southern Region	5487	830	15.13	5487	411	7.49	NA	NA	NA	NA	NA	NA	RT-PCR	NA	NA	
Whittaker et al.	Vareta	Submicroscopic malaria infection is not associated with fever in cross-sectional studies in Malawi	2020	East Africa	Malawi	Southern Region	7993	1845	23.08	7993	1001	12.52	NA	NA	NA	NA	NA	NA	RT-PCR	NA	Wet	
Whittaker et al.	Vareta	Submicroscopic malaria infection is not associated with fever in cross-sectional studies in Malawi	2020	East Africa	Malawi	Southern Region	8657	1242	14.35	8657	569	6.57	NA	NA	NA	NA	NA	NA	RT-PCR	NA	Dry	
Whittaker et al.	Umunnakwe	High cases of submicroscopic Plasmodium falciparum infections in a suburban population of Lagos, Nigeria	2019	West Africa	Nigeria	Lagos	316	112	35.44	316	78	24.68	0.0384	0.0686	Low_Low	Low_Low	Low_Low	NA	qPCR	300	Wet	
Whittaker et al.	Sutanto	Negligible Impact of Mass Screening and Treatment on Mesoendemic Malaria Transmission at West Timor in Eastern Indonesia: A Cluster-Randomized Trial	2018	Asia&Oceania	Indonesia	NA	535	24	4.49	535	11	2.06	NA	NA	NA	NA	NA	NA	qPCR	200	Wet	
Whittaker et al.	Sutanto	Negligible Impact of Mass Screening and Treatment on Mesoendemic Malaria Transmission at West Timor in Eastern Indonesia: A Cluster-Randomized Trial	2018	Asia&Oceania	Indonesia	NA	354	27	7.63	354	10	2.82	NA	NA	NA	NA	NA	NA	qPCR	200	Wet	
Whittaker et al.	RTS,S Group	Estimating Annual Fluctuations in Malaria Transmission Intensity and in the Use of Malaria Control Interventions in Five Sub-Saharan African Countries	2020	West Africa	Burkina Faso	Boucle du Mouhoun	581	406	69.88	581	385	66.27	0.7872	0.5048	High_High	High_High	High_High	High_High	qPCR	200	Wet	
Whittaker et al.	RTS,S Group	Estimating Annual Fluctuations in Malaria Transmission Intensity and in the Use of Malaria Control Interventions in Five Sub-Saharan African Countries	2020	West Africa	Burkina Faso	Centre-Sud	426	246	57.75	426	214	50.23	0.7472	0.4605	High_High	High_High	High_High	High_High	qPCR	200	Wet	
