Gene	Beta_Untreated_day14	Beta_5d-release_etoposide	Depmap
GGH	-0.126216071	-0.049771751	0.080806148
UQCR10	-0.233235378	-0.156879676	-0.329507864
DEGS2	-0.115255158	-0.039265923	0.157907691
HMBS	-0.277030998	-0.201071532	-0.318185651
UGDH	-0.329181281	-0.253303419	-0.140504648
GRIN2B	-0.031464594	0.044290942	0.132667436
PYGB	-0.273529876	-0.197900816	0.004221919
TRPC5	-0.148108825	-0.072493329	0.049469933
CDA	-0.167396594	-0.091921044	-0.095069929
TNF	-0.205327519	-0.129955483	-0.164367501
CHSY3	-0.267652542	-0.192309598	-0.044021709
DTYMK	-1.239978513	-1.164686149	-1.579739866
KCND2	0.044403577	0.119686042	-0.010666228
KCNA7	-0.087049009	-0.012051836	0.011419259
INPP4B	-0.342376845	-0.267515022	-0.016332262
ABCA4	-0.259588587	-0.184991472	-0.124004246
AOC3	-0.138085759	-0.0635035	-0.217753078
COX7B	-0.634019022	-0.559475699	-0.572997706
SMPD4	-0.318033305	-0.243593101	-0.088521453
BCO2	-0.123252125	-0.048843184	0.052151116
ENPP6	0.072471956	0.146815483	0.022696906
SLC30A3	-0.306948526	-0.232665454	0.027676944
CLCNKB	-0.445666256	-0.371539991	-0.093646064
THNSL1	-0.072209056	0.001744743	0.171951786
DDT	-0.329522546	-0.255582371	-0.198439069
AKR1D1	0.022365469	0.096224158	-0.004114976
ATP10D	-0.139893197	-0.066154728	0.01098046
MCOLN3	-0.279356653	-0.205671902	0.147501731
SLC29A3	-0.223123835	-0.149575704	-0.130431442
CYP2C9	-0.050397194	0.023041481	0.042960881
KCNG1	-0.024148892	0.049064002	-0.260419704
SLC22A6	-0.301437735	-0.228362339	-0.039412743
ADH1B	-0.087218378	-0.014147622	-0.004294195
SLC34A3	-0.13029987	-0.057341836	-0.132031787
SLC24A1	-0.438158435	-0.365354264	-0.006624231
SLC37A2	0.045332575	0.118104931	-0.073433075
ATP6V0E1	-0.324669005	-0.251958696	-0.211128355
SLC38A1	-0.181792903	-0.10932601	-0.145817489
NT5C1A	-0.036028692	0.036408032	-0.030600288
NT5C2	-0.389344962	-0.317014997	-0.066583053
LARGE	0.018567321	0.090883483	
COQ5	-0.376692893	-0.304445372	-0.457307511
ATP2A3	-0.191740133	-0.119514767	-0.078841881
COX19	-0.516687206	-0.444508928	-0.445746333
SLC25A22	-0.249274813	-0.177135456	-0.34404371
PI4KB	-0.948336335	-0.876250062	-0.431323628
ACOX1	-0.285158151	-0.213174043	-0.135070478
SLC16A3	-0.267071128	-0.195324609	-0.339551569
MICAL3	-0.118863715	-0.047198375	-0.005316865
HDC	-0.011479888	0.060049684	-0.078326422
APOA1	-0.026892912	0.044388611	-0.032586259
KCTD8	-0.239175909	-0.167906407	-0.079474632
LIPK	-0.036234714	0.034914681	-0.006606318
DPYD	0.015249471	0.086394938	-0.13699239
ATP6V0A2	-0.175119285	-0.103974011	-0.145797069
SLC30A6	-0.212317123	-0.141211525	0.11652349
CHST15	-0.079392043	-0.008395887	0.102470708
PLB1	-0.263152905	-0.192168048	0.060495197
DIO3	0.010541663	0.081508638	0.165459938
VLDLR	-0.014896831	0.056046655	0.159258049
LHPP	0.168534142	0.239431536	0.089656207
GPX8	-0.388510759	-0.317651971	-0.290909207
PIK3CB	-0.189692546	-0.118942906	-0.094199311
ASNSD1	-0.156172781	-0.085430984	-0.152596115
GLRA2	-0.18030145	-0.109718104	0.115241069
B3GNT3	-0.226827187	-0.156299321	-0.348447239
CLIC5	-0.254103075	-0.183660903	0.031686998
SCD5	-0.442658072	-0.372318515	-0.11885623
UQCR11	-0.108642209	-0.038447765	-0.095465306
PCYT2	-0.062630897	0.007494214	-0.167093354
PDE3B	-0.419957658	-0.349981952	0.097216881
ACSM3	-0.55397352	-0.484015486	-0.094506146
GK2	-0.318905425	-0.248957839	0.017004389
HLCS	-0.153050842	-0.083160525	-0.10670999
DPM2	-0.546996556	-0.477320179	-0.593120508
APOF	-0.450835782	-0.381264465	-0.134501609
SLC6A4	-0.131614371	-0.062062523	0.120919276
SLC22A18	-0.302638481	-0.233104259	0.10996856
ATP7B	-0.250020539	-0.180589272	0.061610541
PIGU	-0.294195342	-0.224781129	-0.135834037
ACADVL	-0.338976838	-0.269595804	-0.071927473
SLC10A6	-0.093692293	-0.024355064	-0.017733232
NUDT14	0.120673682	0.189945716	-0.048430082
APOC3	0.15928208	0.228546354	0.059068527
ACOT9	0.093280248	0.162385964	0.129179894
PIK3R4	-0.593926755	-0.524880921	-0.626787937
NDUFB10	-0.699491263	-0.630590334	-0.623514401
MTHFD2	-0.461440263	-0.392687536	0.017657767
PNPLA7	-0.397004455	-0.328268209	-0.094436
FPGT	-0.200360224	-0.131658327	-0.007278918
CACNG4	-0.217739438	-0.149066125	-0.070781056
UGT1A6	-0.328245963	-0.259687316	-0.098893678
ALG9	-0.541182419	-0.472889669	-0.153223489
AGXT	-0.397889215	-0.329980962	-0.093627393
AQP7	-0.614238316	-0.546339875	-0.909107341
PFKFB1	0.073547572	0.141432343	-0.1890664
ACO2	-0.208095554	-0.14035798	-0.640813097
PLPPR5	-0.09925617	-0.031574105	
FABP12	-0.034257908	0.033327907	0.018950174
SLC25A24	-0.164274655	-0.096771956	-0.134682647
PIPOX	0.050598161	0.118090776	-0.115284704
SLC9A1	-0.201497772	-0.134056181	0.090555017
HOGA1	-0.197617468	-0.130190455	-0.126353683
CKMT2	-0.220115651	-0.152788886	0.158121373
PRDX2	-0.517736278	-0.450496486	-0.175702596
MME	-0.097941669	-0.030874849	-0.008794155
GCAT	-0.23406958	-0.167014643	0.00515034
ISCA1	-0.426024584	-0.358984522	-0.216641817
POFUT1	-0.007900022	0.059116871	-0.119010348
PLD6	-0.192776566	-0.12578684	-0.018421813
ALOXE3	-0.342642273	-0.275668292	-0.176938712
UCP3	-0.038181186	0.028703474	0.017826611
SCNN1D	-0.275097166	-0.208233954	-0.198907884
BSCL2	-0.333074225	-0.266311848	-0.26431076
SDR39U1	-0.215792966	-0.149151055	-0.103734712
PTGES3	-0.347445255	-0.280863171	-0.186090348
CLCN4	-0.148070907	-0.081641695	0.06903163
ATP2B2	-0.197276203	-0.130854324	-0.032104881
OAS3	0.121079407	0.187426129	-0.135118713
ALOX5	0.012396246	0.07871586	-0.077825985
CYP4A11	-0.085508263	-0.01920265	-0.054341269
ADIPOR2	0.048086706	0.114324135	0.117757479
GTDC1	-0.108632098	-0.042603668	0.089282791
CHSY1	0.023447404	0.089392964	0.151899223
PKD2L1	-0.036824976	0.029094152	-0.063085441
A4GALT	-0.154693968	-0.088829595	-0.044155386
GSR	-0.141637438	-0.076075956	0.141402415
SLC4A1	-0.743956773	-0.678420021	-0.131879443
GPI	-0.870919834	-0.805404372	-0.492654889
LYZL2	0.03252757	0.097919925	
ACAD11	-0.116942522	-0.051654364	0.063673346
ALG11	-0.874850697	-0.809778262	-1.49975066
INPP5K	-0.296761146	-0.2320851	-0.189572879
DECR2	-0.603633836	-0.538965129	0.100413825
SLC9A9	-0.133649319	-0.069077732	0.079999052
PANK2	-0.143482795	-0.078926769	0.03827557
ATP1B1	-0.238986318	-0.174488474	-0.116033891
GPAT3	-0.179378772	-0.114968187	
ABCA12	-0.101255727	-0.036951583	-0.084202817
GNPAT	-0.517104307	-0.452874523	-0.077469673
CHRNA4	-0.295863747	-0.23166045	-0.165260686
ASAH2	-0.271937308	-0.207894234	0.110541415
SCN5A	-0.029022656	0.034981209	-0.125277108
PLPPR3	-0.497449995	-0.433652056	
PNPLA2	-0.000408304	0.063366196	-0.130581257
HIBCH	-0.243915695	-0.180221242	-0.110157608
SLC25A18	0.053538092	0.117138146	-0.258665257
DAK	0.011201315	0.074799176	
AKR1C1	-0.14513856	-0.081553934	-0.15228046
EXTL2	-0.293247385	-0.229791993	-0.265989855
SLC2A1	-0.394084747	-0.330632091	-0.545936165
MLXIPL	-0.314494265	-0.251180172	-0.104599548
HAO2	-0.173198091	-0.110002619	-0.299330316
HPDL	-0.199475464	-0.136323809	-0.018957089
SLC17A2	0.073514709	0.136479514	0.050043037
PRDX6	-0.280190855	-0.217392227	-0.135033365
SLC1A3	-0.119136727	-0.056350987	0.043602442
MFSD3	-0.15907985	-0.096344476	-0.043895695
ARSK	-0.413119727	-0.350505687	-0.155737066
NUDT2	-0.40596581	-0.343484815	-0.078346783
GUCY1A2	-0.117143489	-0.054792523	0.062055389
KCNA10	-0.29114924	-0.229197483	-0.451869133
HILPDA	-0.191613739	-0.129829503	0.17707646
HACL1	-0.080120075	-0.018466591	0.041025204
PYCR1	-0.018780927	0.042855626	-0.268949335
ABCB7	-0.989111132	-0.92785913	-1.128858247
KCNJ4	-0.038168547	0.023068376	-0.38019443
SLC39A14	-0.134142257	-0.073151536	-0.10629068
SLC26A6	-0.288810946	-0.227838605	-0.018539445
CYP4A22	-0.186216703	-0.125244704	0.033844426
PNMT	0.089053623	0.149943734	-0.070004993
DDAH2	-0.183246437	-0.122410877	0.053470143
MOXD1	-0.267197523	-0.206492891	0.13848829
SLC30A4	0.097978323	0.158677358	0.012207867
AMY1A	-0.40596581	-0.345282498	0.185451213
BCAT2	-0.030175372	0.030399241	0.107814036
KDM5B	-0.238645053	-0.17808384	0.087202011
CTH	-0.302979745	-0.242432392	0.151226794
GYLTL1B	-0.402957626	-0.342578896	
RHAG	-0.322924764	-0.262560778	0.100220468
DHDH	-0.182981009	-0.122679821	-0.051098227
CYP51A1	-0.291958163	-0.23168876	0.090578162
CACNA1D	-0.427364363	-0.367180257	-0.03319174
MSRB2	-0.169305147	-0.109160397	-0.028761552
FOXRED2	-0.150775745	-0.090664081	-0.2231941
HAS3	0.00584207	0.065895692	0.069821561
SLC25A6	-0.129794293	-0.069796805	0.04207117
SLC1A7	-0.304926217	-0.244951979	-0.086782997
HCN4	-0.008454767	0.05147318	0.074600548
HPD	-0.234170695	-0.174332769	-0.129881174
NUDT3	-0.4880589	-0.428259008	-0.062812198
ACER1	-0.331456378	-0.271860602	0.182010825
GANAB	-0.46305811	-0.403572718	-0.291801464
ALKBH2	-0.048836225	0.010606753	0.136192419
SREBF1	-0.242727589	-0.183462733	-0.497824043
OGFOD3	0.050905299	0.110156908	-0.113468669
PDE1C	-0.346434101	-0.287218758	-0.248605571
ATP6V1B2	-1.113154485	-1.054178197	-1.796304595
ECHDC1	-0.038129365	0.020816318	0.097542139
SLC22A13	0.026394919	0.085310666	-0.149056097
ATP11B	-0.215451702	-0.156582421	0.059609956
HS6ST1	-0.041175467	0.017680989	-0.464962172
ALOX15	-0.223199671	-0.164452591	-0.150631438
ADAD2	-0.256972225	-0.198254691	-0.079470724
SLC24A5	-0.157285051	-0.098578132	0.032039345
HSD17B2	-0.016724492	0.041975186	0.218569861
SLC51B	-0.186621165	-0.12842816	-0.120085155
SLC5A1	-0.556021108	-0.497943989	-0.159392661
PLCL1	-0.266350681	-0.208290573	0.162249303
SLC25A2	-0.084952128	-0.026955334	-0.050658397
ADCY1	-0.380257212	-0.322450511	0.074544748
ECI1	-0.115769583	-0.057984472	-0.056321226
SCN4B	0.051888647	0.109303363	-0.018898032
ARSD	-0.097527096	-0.040113806	0.23952158
KCNA1	-0.069138939	-0.01180016	0.073923658
SLC12A8	-0.194950548	-0.137701089	-0.216029964
PLIN3	-0.31991658	-0.262674018	-0.238957372
OXSM	0.003545233	0.060741863	-0.270408317
ALDH1A3	-0.057979587	-0.000956509	0.16450678
KCNH4	-0.266059974	-0.209210647	-0.06984352
GPX5	-0.251069612	-0.19436207	0.201484936
ADPGK	-0.028164439	0.02850672	-0.047521489
NDUFS8	-0.238227952	-0.181650896	-0.52831391
SLC25A51	-0.432356937	-0.375800641	-0.022758011
ALOX15B	-0.362574652	-0.30605904	0.150356793
MCCC2	-0.452832812	-0.396339521	0.003351992
B4GALT2	-0.427490757	-0.371058722	-0.082026134
SAT2	-0.138389105	-0.081957351	0.027837697
SLC6A11	-0.265326887	-0.208927548	0.081714679
ENPP4	-0.226498562	-0.170142895	0.119294329
ALDH5A1	-0.141536323	-0.085275279	-0.063472781
AHCYL2	0.109695074	0.165825625	-0.029718371
PGAM2	-0.305444434	-0.249340024	-0.021566608
COX6A1	-0.27299902	-0.216953423	-0.428121423
SLC10A1	-0.061622271	-0.005634816	0.0084358
MGAT5B	-0.133004708	-0.077061142	0.241827168
B3GNT7	0.084705659	0.140516515	0.053901368
HADHA	-0.194811515	-0.139068461	-0.15348108
SLC37A1	-0.115476348	-0.059845852	-0.022293629
NUDT4	-0.862287105	-0.806664166	-0.638524931
ACSM2A	-0.058267766	-0.00278202	0.054062258
EPHX3	-0.326122539	-0.270982993	-0.09223117
LPIN2	-0.055073783	-7.61906E-05	0.081502036
SLC45A2	-0.073272032	-0.018475084	0.112481937
EPHX4	-0.198742377	-0.144140191	0.05008063
PLCB3	-0.308680128	-0.254336733	-0.102803918
DOLK	-0.865636553	-0.81147686	-0.702783755
PPARD	-0.562075394	-0.508036492	-0.110435538
AANAT	-0.019660631	0.034376791	-0.189005731
COX6A2	-0.145252315	-0.091227449	-0.192148802
SLC39A11	-0.045241571	0.008695972	-0.038749603
SLC1A5	-0.359225203	-0.305379601	-0.429423649
ACAD8	-0.27699308	-0.223209925	0.221657951
KCNB1	-0.302992385	-0.249226784	0.12026192
LYPLA2	-0.398331595	-0.345013553	-0.223059478
SCNN1A	-0.131323664	-0.078095872	0.00683734
B3GNT8	-0.194482889	-0.141466315	-0.022681386
SLC22A3	-0.201143868	-0.148230981	0.056559832
FABP3	-0.272025784	-0.2191616	0.027684135
PMM1	-0.124371978	-0.071533622	-0.07298932
CACNG5	0.044124246	0.096954555	0.156758315
HAS2	-0.170467975	-0.117925163	0.059642419
GLT6D1	-0.034577685	0.017884821	-0.074152843
GGT1	-0.093843966	-0.041428804	-0.319771013
GSTA4	-0.438322748	-0.386091314	0.024922708
CYP2J2	-0.286535849	-0.234576377	-0.078425277
GGT7	-0.169507378	-0.117575535	-0.096422807
DHFR2	-0.679331374	-0.627504547	
GABRD	-0.049000537	0.002800988	-0.18443994
DUS2	-0.245836888	-0.194050661	-0.129771752
PAOX	0.037307802	0.08907023	-0.105802765
SLC9A4	-0.256403451	-0.204666898	-0.00700797
DDOST	-1.446329826	-1.394662156	-0.987748192
UGT2A3	-0.049209088	0.002446264	-0.071091216
ATP7A	-0.08951117	-0.038035855	-0.033664567
BSND	-0.061311341	-0.010004317	-0.176338054
AGPAT2	-0.614920846	-0.563665574	-0.052915844
CHIA	-0.016857206	0.034395193	0.07252559
PIGK	0.017332449	0.068556829	0.067562694
UROS	-0.070390242	-0.019167262	-0.300624862
KCNQ1	-0.204758745	-0.153836354	-0.014447499
PLA2G3	-0.004077353	0.046606697	-0.030239048
GRID1	-0.150535596	-0.099972398	-0.031538665
CLCNKA	-0.270976712	-0.220577099	0.026234723
EDEM2	-0.078064903	-0.027681485	-0.2082538
SLC22A16	-0.129844851	-0.079492969	0.132887153
FHIT	-0.231440579	-0.181282866	0.067191526
POMGNT1	-0.057187095	-0.007069989	-0.128182606
KCNAB1	0.042396436	0.092501398	0.141973792
TRPV4	0.13029987	0.180292017	-0.191802942
PHOSPHO2	-0.051008942	-0.001037971	0.207271408
NR1H2	-0.2247796	-0.174884814	0.041763713
MCOLN1	-0.232868834	-0.183165479	0.017021665
CACNA1I	-0.490624704	-0.440941873	-0.06689482
APOC2	-0.240768477	-0.191106424	-0.078628646
GALNT15	-0.214882927	-0.165259425	0.040730628
CNGA4	-0.198704459	-0.149122745	0.008214858
CMPK1	-0.644282238	-0.594877312	-0.940649216
ALOX12B	-0.090244257	-0.041008401	0.026326393
AKR1E2	0.126344993	0.175550098	0.09944571
MGAT3	-0.385730085	-0.336548874	-0.057702255
SLC22A5	-0.505728821	-0.456979468	-0.155398837
PAICS	-0.82411603	-0.775636443	-0.5361542
GALNT5	-0.102839448	-0.054462712	0.05296005
CHKA	-0.208752804	-0.160418421	-0.406830912
PGAM5	-0.083740007	-0.035529007	-0.016220678
ABCC10	-0.204152052	-0.156101152	-0.175355229
SLCO3A1	-0.140297659	-0.09250706	0.100246494
GGTLC1	-0.024147629	0.023604849	-0.205959766
FDX2	-0.847916074	-0.800251959	
PIKFYVE	-0.16062186	-0.113026123	0.084734369
COX8A	-0.174815938	-0.127723242	-0.106659451
ASIC2	-0.180238253	-0.133167248	-0.123818997
ABCC11	-0.223313426	-0.176540947	0.111892045
KCNJ9	-0.240111227	-0.193357067	-0.235146757
B4GALT1	-0.23516921	-0.188431132	-0.025958158
AACS	-0.245836888	-0.19910399	0.06948806
ABCC12	-0.068308528	-0.021606166	0.116257855
NAT8B	-0.138035201	-0.091368999	
CH25H	-0.288216893	-0.241583093	0.125626334
PRPS2	-0.588959459	-0.542390635	0.119750028
ADAD1	-0.281341043	-0.234802856	0.009987827
KCNK3	-0.174664265	-0.128176201	0.087102546
SDHA	-0.751262363	-0.704804909	-0.58024858
SCN3A	-0.173033779	-0.126640386	-0.005232752
FUT11	-0.28118937	-0.234944406	-0.151053447
PKD2	-0.458697507	-0.412490357	0.168248036
SFXN5	-0.233197459	-0.187114719	-0.117909292
GPX2	-0.149688754	-0.103696574	-0.371009693
B3GALNT1	-0.110442064	-0.06458211	0.218219558
CHST13	0.004676841	0.050502148	-0.003734561
MLYCD	0.040590261	0.086359551	0.098137367
P3H1	-0.638885202	-0.593249489	
DAGLB	-0.195051664	-0.149434155	-0.156278544
CRYZL1	-0.197073972	-0.151472472	0.055625309
ALDH6A1	-0.354396941	-0.308875882	-0.158505794
P2RX2	0.01029254	0.055770633	-0.230012782
GSTM5	-0.202913388	-0.157530805	-0.161170407
ATP6V0A4	0.012285272	0.05748197	-0.059060365
PLA1A	-0.232350618	-0.187185494	0.025628857
IDH3G	-0.357139697	-0.312188148	-0.019118265
PLD5	-0.063992164	-0.019044114	0.128166185
UQCRFS1	-0.692526938	-0.647774483	-0.769305403
SULF1	-0.388460202	-0.343767915	0.040733852
CACNA1B	-0.358037097	-0.313348857	-0.087171209
NSDHL	-0.348696559	-0.304162273	-0.012073425
FUT5	-0.049231839	-0.004735833	-0.08694876
SLC22A17	-0.056016684	-0.011547918	-0.318117841
NDUFAB1	-0.948070907	-0.903753194	-0.82817999
FBP1	-0.27809271	-0.233812008	-0.225523837
PGM3	-0.147009195	-0.102768007	-0.2756488
MGST1	0.062793946	0.106974868	0.41159522
CA3	-0.467974848	-0.423856808	0.090668859
PNPLA5	-0.115042816	-0.070949021	-0.028457685
RPIA	-0.317995387	-0.273941384	-0.527411495
MFSD7	-0.444010491	-0.399977352	
SAT1	-0.016004045	0.027789062	0.168336763
GCNT1	-0.436477391	-0.392829086	0.078657789
GSTM2	-0.171074667	-0.127471283	-0.254873446
ATP6V0C	-1.28429235	-1.240726717	-1.825664817
MCCC1	-0.083517553	-0.039952439	-0.01135945
SLC22A14	-0.132170506	-0.088644165	0.077332857
GNPNAT1	-0.371662401	-0.328239899	-0.466687236
CNEP1R1	-0.062806585	-0.019450362	-0.265229131
AQP6	-0.131298385	-0.088002944	-0.175852962
FUT3	-0.114134041	-0.071178332	-0.105089374
DPEP3	0.005533668	0.048455337	-0.184216673
SULT1E1	-0.220216766	-0.177446866	-0.083839412
INSIG1	-0.232211584	-0.189591841	0.026265089
PYGM	-0.454261067	-0.411683523	-0.340724309
AR	0.074824154	0.11717778	-0.029478767
P3H3	-0.228508231	-0.18623711	
ENPP5	-0.190804816	-0.148542391	0.073369014
NQO2	0.041712643	0.083973021	0.128487307
HEXD	-0.005507505	0.036678392	-0.096058179
HS3ST3B1	-0.069763327	-0.027619203	-0.044697952
SLC26A9	0.035059247	0.077018677	0.047709879
NDUFB8	-0.186330458	-0.144635615	-0.604862275
PTDSS1	-0.349012545	-0.307347144	-0.423087322
RHCG	-0.188188454	-0.146645623	-0.095251586
FAAH	-0.312054855	-0.270544188	-0.087311972
CRAT	-0.314468986	-0.273148705	-0.205838769
GAL3ST3	-0.149208456	-0.107985534	-0.012254442
EGLN2	-0.32167346	-0.280495141	-0.485762685
KCTD19	-0.155793598	-0.114634129	-0.083646916
GXYLT2	0.071492401	0.112629783	-0.002719269
HSD17B1	-0.246746927	-0.205615282	-0.135379477
AS3MT	-0.19668215	-0.155591572	-0.027737576
UGT1A5	-0.01797074	0.022979199	0.05789675
MTR	-0.214946124	-0.174007205	-0.168909618
SULF2	0.012020602	0.052626811	-0.0017182
CYP26A1	0.006047461	0.046569894	-0.2794042
SLC6A16	-0.20552975	-0.165047101	-0.041861024
KCNE3	0.014306569	0.054614171	0.015555578
SLC11A1	-0.078806838	-0.038504385	-0.218147401
PKLR	-0.135444118	-0.095209246	-0.125773272
GAPDH	-1.524947072	-1.484857707	-1.143446188
KCTD6	-0.15442854	-0.114547784	0.053833054
ABCC2	-0.264315733	-0.224455564	-0.014404332
GLRX2	-0.310045186	-0.270303554	-0.064353583
DDAH1	-0.04160268	-0.001928475	0.206426564
GMPS	-0.45486776	-0.415222269	-0.980482591
NDUFS3	-0.540588365	-0.50101562	-0.518472202
MSR1	0.026374696	0.065945234	0.099268893
CCDC102B	-0.034164376	0.005358652	0.142357933
GDPD4	-0.37211742	-0.332599633	0.038442717
ALDH3B1	-0.029223623	0.010257125	
MCEE	-0.104328372	-0.064885026	-0.257983923
IP6K2	-0.1553133	-0.115891092	-0.178826454
KCNC2	-0.153632256	-0.114379339	-0.175530834
GSTT2	-0.273390843	-0.234222502	0.035000819
FADS2	-0.488577116	-0.449519792	-0.254629146
ATP5F1C	-0.302840712	-0.263806416	
SLC26A4	-0.302954466	-0.264075361	0.047330679
CHRNB4	-0.193686605	-0.155039528	0.044691443
TK1	-0.106762726	-0.068146334	-0.033021271
IDI1	-0.643169969	-0.604630095	0.231900776
SLC26A8	-0.66593358	-0.627617787	-0.325783434
ALDH1L1	-0.306101684	-0.267953826	-0.098763549
ABHD6	-0.101794167	-0.063662036	0.038652189
CHRNE	-0.463803836	-0.42610745	-0.062284884
PLPP5	-0.134104338	-0.096627575	
KCNK7	-0.106978861	-0.069505213	-0.131399373
LTA4H	-0.168028565	-0.130557069	-0.029674803
P4HTM	0.0108895	0.048310957	-0.213378798
NEU3	-0.249906784	-0.212579533	-0.115152665
ALG6	-0.526836667	-0.489635014	-0.343344474
RPE65	-0.524371978	-0.487455146	-0.33079808
UGT2B11	-0.281808702	-0.244895359	-0.298886067
MFSD4	-0.464195658	-0.427452174	
SLC30A8	-0.153240434	-0.11651108	0.0688673
PLD4	-0.073843334	-0.037127105	-0.130493071
SLC45A1	-0.034259171	0.002431826	-0.050755022
STARD7	-0.630732771	-0.594353577	-0.558028566
ERO1A	-0.039352861	-0.00309796	
CA8	-0.195228616	-0.158974613	-0.076046824
HMOX2	-0.322899485	-0.286723334	-0.11117454
TPH1	-0.145694695	-0.109531258	-0.063246994
ATP6V1F	-0.919164534	-0.883256778	-1.677439524
NT5M	-0.452971846	-0.417090726	-0.038036794
MAT2A	-0.920820299	-0.885068616	-1.082199533
SLC30A9	-0.452769615	-0.417048261	-0.269143279
TK2	-0.09565646	-0.06001005	-0.171432049
GDA	-0.064001011	-0.028387818	-0.005364446
SLC20A1	-0.491193478	-0.455719675	-0.320102751
SLC28A2	-0.11460802	-0.079182974	-0.057868251
NAT8	-0.268347711	-0.232976864	-0.256466506
MYC	-0.827617152	-0.792254393	-1.786741392
NUDT13	-0.18008658	-0.1447347	-0.11361185
SLC26A5	-0.450191171	-0.414939169	-0.142736259
SULT1C4	-0.358593232	-0.323512134	-0.059628472
PIK3CD	-0.026099156	0.008978223	-0.174097589
TTYH1	-0.640755838	-0.605691719	0.045732396
NAGA	-0.022503239	0.012546694	0.045854539
PCYOX1	-0.073253073	-0.03826375	0.057309719
COX8C	0.117953676	0.152930435	-0.12998906
LPIN3	-0.298758176	-0.263792261	0.092226644
ENTPD8	-0.161557178	-0.126592259	-0.13819533
COX6C	-0.04624767	-0.011331772	-0.647224417
FN3K	0.101287326	0.136159612	-0.094654263
SLC23A1	0.073179764	0.108035076	0.017030365
NQO1	-0.143533352	-0.108875882	-0.029761337
P2RX6	-0.023729263	0.010766988	0.006005204
SLC30A7	-0.199702973	-0.16524527	-0.202755241
PANK1	-0.092044112	-0.05765183	-0.011114698
GATM	0.009615825	0.043976701	-0.032882385
FUT10	0.092976901	0.127175444	0.089139513
ESD	-0.062417291	-0.028219374	0.085697423
ORAI2	-0.165728189	-0.131542256	-0.067525137
ASPA	-0.064574841	-0.030390748	0.18094769
DPYSL5	-0.186191424	-0.152081136	-0.040314142
BHMT	-0.154049357	-0.119993206	-0.05797957
HSD3B2	-0.10619016	-0.07216918	0.040944771
APOH	0.157019623	0.190979029	0.038207147
PIR	-0.044912946	-0.0109946	0.033166712
MOCS1	-0.52677347	-0.492904815	-0.104320733
PCBD1	0.065708598	0.099420353	0.027668882
HK1	-0.14558094	-0.111913541	-0.061273024
SLC25A40	-0.164754953	-0.131087881	0.082169835
PLCL2	0.074972035	0.108285619	0.027005965
CKM	-0.074910102	-0.041665192	-0.083532048
ALKBH3	0.015550289	0.04863369	-0.048218717
MAT2B	-0.143545992	-0.11051786	0.168925708
PGS1	-0.449306411	-0.416298047	-1.074505166
GPLD1	-0.178683604	-0.145796324	0.011283444
UMPS	-0.804499637	-0.771757978	-0.560088062
NUDT22	-0.409997788	-0.377400154	-0.234970009
CRYL1	-0.237191519	-0.204596123	0.033126964
APOA5	0.079780074	0.112316958	-0.04291429
MMADHC	-0.045124024	-0.012802474	0.018278862
CA7	-0.143482795	-0.111225609	-0.308315183
IDNK	-0.147868676	-0.115841549	-0.018800562
ACOD1	0.103883464	0.135906237	
SLC17A4	-0.205100009	-0.173172061	-0.05602372
PRPS1L1	-0.17233861	-0.140734502	-0.077387467
SLC35C2	-0.131576453	-0.100132349	0.057025124
KCNH6	-0.076572187	-0.045252065	-0.075071688
EGLN1	-0.416494454	-0.38525617	-0.315324035
SULT1A4	-0.869744368	-0.838527032	-0.154767947
ASIC1	-0.227256928	-0.196131443	-0.198840392
SLC2A9	-0.153644895	-0.122556673	0.117657573
SLC44A5	-0.194305937	-0.163291883	0.266632808
BEST4	-0.369538977	-0.338672121	-0.122382119
ALDH16A1	-0.29624293	-0.265448394	-0.029789762
SULT1A2	0.045624546	0.076415675	-0.065870655
ATP8A2	-0.114385566	-0.083810238	-0.096527154
SLC22A23	0.055956015	0.08638503	0.001595943
NDUFV2	-0.140866433	-0.110448501	-0.313555204
PFKP	0.126108636	0.156497491	0.054063839
KCNJ10	-0.309830316	-0.279475983	-0.019424508
HSD17B6	-0.100981452	-0.070629118	0.008500393
BCHE	0.078760072	0.109105193	0.014725329
ATP6V1E1	-0.598653901	-0.568322564	-1.070753
GYG1	0.025286441	0.055544153	-0.047807807
GSTM4	-0.373709988	-0.343484815	-0.37281374
TREH	-0.181262047	-0.151161062	
SRD5A2	-0.054226941	-0.024149816	
GPAT4	-0.151420356	-0.121345006	
MICAL1	-0.098425759	-0.068372814	0.048577845
GOT1	-0.175751256	-0.145824634	-0.012493395
STEAP1	-0.142623313	-0.112737361	0.314653155
NDUFAF2	-0.300123234	-0.270430948	-0.164886242
SLC17A8	-0.103127627	-0.073549291	0.096934865
SLC28A3	-0.622984801	-0.593532588	-0.035079865
ADAL	-0.035777167	-0.006506196	-0.011217897
TTYH3	-0.433393371	-0.404167227	0.058975585
TPK1	0.061417512	0.090550841	-0.131636908
TNXB	-0.067377003	-0.038311877	-0.245454085
RDH11	-0.370208867	-0.341319103	0.093384498
HMGCLL1	-0.203406326	-0.174587559	-0.023086656
KCNN3	-0.338370146	-0.309626096	-0.001877906
KDM5D	0.102198629	0.130852908	
ENTPD3	-0.197908175	-0.169279441	0.131590591
ADHFE1	-0.272910544	-0.244286695	0.148297165
