gene	lineage	Fig4DE.genecluster	E3	E4	E5.pre-lineage	EPI	PE	TE	EPI	PE	TE	EPI	PE	TE
EMP2	TE	TE.late	1.8	4	11.5	1.5	4.6	21.6	16.1	32.4	58.5	19.4	17.2	77.5
ENPEP	TE	TE.late	0.1	0.1	6.5	2.3	3.5	21.4	7.7	16.2	24.8	7.2	4.3	16.5
FABP3	TE	TE.late	2.7	3.3	72	37.4	86.7	292.4	364.5	512.7	866.2	119.4	93.5	406.9
FAM101B	TE	TE.late	0.7	1.4	14.6	4.4	9.7	39.6	16.4	10.6	29	8.1	4.2	10.8
FASN	TE	TE.late	0.4	3	7	6.6	9.6	25.1	18.2	13	34.4	18.1	21.2	34.7
FBXL18	TE	TE.late	3.4	2.3	3.6	2.3	2.1	7.6	2.8	3.5	7.5	3.9	3.9	7.9
FHL2	TE	TE.late	0.4	11.1	36	6.3	11.6	66.2	15	24.5	42.9	48	34.2	59.6
GAB2	TE	TE.late	11.2	2.1	5.1	3	2.4	13.5	5.6	8.8	17.5	11.9	16.9	21.9
GALNT10	TE	TE.late	0.5	0.5	3.7	2.9	3.6	16	7.2	8	14.4	2.9	4.2	6.2
GATA2	TE	TE.late	4.3	0.5	43.6	19.9	23.4	153.8	75.4	108.5	188.1	149.4	196.9	232.5
GM2A	TE	TE.late	9	3.5	16.5	6.2	8.7	43.6	14.7	22.7	39.9	19.3	11.2	26.6
GREB1L	TE	TE.late	0.6	0.8	1.8	0.3	0.8	4.7	2.1	5	7.5	3.1	4.1	7.9
HIP1	TE	TE.late	1.8	1.5	4.1	1.3	2.3	11.6	4.9	6	12.2	2.6	2.5	7.3
JDP2	TE	TE.late	1.3	1.9	5.7	1.2	2	13.3	4.9	9.7	16.5	4.5	4.2	10.3
KRT19	TE	TE.late	1.5	3.3	35.3	13.1	35.2	105.4	231.2	627	716	428.8	489.7	1323.1
LAD1	TE	TE.late	93.9	6.7	10	6	5.3	26.5	9.5	13.1	21.9	13.5	9.9	22.5
LRP2	TE	TE.late	0.1	0.1	6.3	3.8	8	29.7	21.2	42.4	57.7	9.4	14.6	30.6
LRRFIP1	TE	TE.late	8.7	5.8	20.1	15.3	17.1	38.6	28.5	38.6	63	26.1	30.8	65.6
MYCT1	TE	TE.late	0.1	0.1	3.9	2.6	2.3	8.9	5.6	6.9	11.3	6.5	5.1	17.5
MYO6	TE	TE.late	9.7	3	5.5	3	4.5	8.3	3.9	10	14.1	7.4	9.1	18.9
NIM1K	TE	TE.late	0.5	0.1	1.1	0.6	0.9	4.6	1.5	3.5	8.8	1.7	1.1	6
NPC2	TE	TE.late	70.2	190.7	248.6	137.3	160.5	319.4	217.9	263.6	372.5	182.1	145	297.3
OLFML1	TE	TE.late	10.6	1.9	9.9	0.6	2.2	12.1	3.5	8.9	13	2.4	2.8	10.9
PALLD	TE	TE.late	3	7	10.5	4.8	4.2	22.9	10.9	21.4	38	12.4	17.1	28.5
PLAC8	TE	TE.late	0.5	8.5	16.2	9.2	22.1	38.4	11.4	22.5	34.3	7.9	7	20.9
PPME1	TE	TE.late	29.9	14.7	21.8	17.9	17.2	40.4	20	33.9	53.8	43.2	44.5	73.7
PPT1	TE	TE.late	25.8	68.7	137.6	48.4	69	208.1	113.9	295.4	336.9	103	81.6	239.6
PWWP2B	TE	TE.late	0	0.2	3.4	0.9	1.6	13.6	5.5	8.7	17.4	12.3	12.4	21.6
S100A6	TE	TE.late	2.1	6.2	68.8	42.8	102.6	236.3	298.1	434.9	738.9	186	218.7	707.6
SH3GL3	TE	TE.late	2.5	0.8	6	2.8	4.8	13.8	7.1	12	22.5	12	8	24.1
SLC19A3	TE	TE.late	0.3	3	4.4	1.6	0.7	6.3	2.5	4.4	9.4	3.7	2.6	6.6
SLC28A3	TE	TE.late	4.2	10.6	16.6	1.6	4	32.8	10	18.8	32.5	6.3	6.9	19
SLC34A2	TE	TE.late	770.6	20.7	45.4	3.4	16.2	72.2	7	6.9	25	7.8	6	12.2
SLC7A2	TE	TE.late	1.8	3.5	15.6	7.8	12.9	53.7	24.8	60.3	83.2	38.4	42.3	68.2
SLC7A4	TE	TE.late	0	1.1	20.8	7.5	18.6	59.3	33	68.6	104.4	34.3	19.8	92.8
TACSTD2	TE	TE.late	1.2	0.5	36.1	8.3	12.9	116.4	36.4	55.1	105.1	60.2	42.3	118.1
TAGLN2	TE	TE.late	52.1	213	489	174.8	221.7	684.6	339.4	462.4	668.3	301.4	411	509.3
TCF7L1	TE	TE.late	5.9	2.6	11.4	7.3	6.8	36.6	9.6	7	19.1	3.5	6.3	12.9
TEAD1	TE	TE.late	2.5	6.8	7.6	3.1	3.8	17	9.3	16.7	23	16.3	19.1	25.3
TFRC	TE	TE.late	9.5	24.6	49	24.1	28.4	79.7	55.8	119.8	130.2	61.2	80	117.1
TMEM106C	TE	TE.late	23.5	27.4	51	15.8	26	46.2	20.9	46.4	69.8	60.3	48.8	100.6
TMPRSS13	TE	TE.late	0	0	3.5	2	2.8	13	2.8	8.4	17.4	4.3	4.7	16.1
TMPRSS2	TE	TE.late	0.1	0.1	4.1	1.5	2.9	22.2	8.6	11.4	22.8	6.1	2.4	12.3
TSPAN15	TE	TE.late	6.3	0.5	8.3	10.6	14.7	36	27.7	51.9	67.3	33.2	28.9	65.6
WNT7A	TE	TE.late	0	0	2.2	0.9	0.5	7.7	3.3	2.4	9.8	2.2	1.1	7.5
ACTN1	TE	TE.mid	20.6	16.7	49.2	21.7	15.7	65.9	41.9	40.6	74.2	78.8	58.9	91.9
ATP6V0A4	TE	TE.mid	3.3	2.5	42.3	8.7	15.9	82.4	21.9	31.5	60.1	12.2	9.3	31
ATP6V1B1	TE	TE.mid	0.1	6.9	68.7	13	23.8	113.5	32.3	33.8	74.8	10.1	8.2	36.3
CLDN10	TE	TE.mid	14.2	44.7	655.8	104.5	269.4	1458.6	170.2	127.4	384.4	19.5	18.4	43.5
CLDN4	TE	TE.mid	0.5	7.9	265.6	66.9	112	564.3	226.2	400.7	536.1	347	428	713.3
CYP26A1	TE	TE.mid	1.2	10.7	92.4	1.2	7.5	64	7	0.5	8.6	1.9	1	1.9
EFNA1	TE	TE.mid	13.4	11	98.5	20.7	40.1	138.7	60.6	118.5	144.9	60.4	58.5	174.3
FOLR1	TE	TE.mid	12.1	35.7	125.9	37.4	65.8	189.9	116.5	244.1	313.9	118.2	128.1	291.6
GATA3	TE	TE.mid	2.4	16.7	80.4	15.5	27.3	184.8	51.9	68.1	152.7	88.3	143.7	179
GPRC5A	TE	TE.mid	1	6.4	51.6	10.1	17.4	125.9	32.1	40	69.5	11.3	5.5	24.4
GRHL2	TE	TE.mid	7.2	3.9	13.2	1.5	2.8	18.3	4.1	8.6	15	4.6	4.7	10.6
GYLTL1B	TE	TE.mid	0	11.1	41.5	15.2	12.1	71.8	40.5	36.5	72	33.8	27.4	56.9
KRT18	TE	TE.mid	2.8	223.5	2111	611	1093.9	3617.3	1254	1486.4	2384.2	1739.8	1498.4	2541.2
KRT8	TE	TE.mid	4	265.4	1622.6	560.2	1055.2	2542.4	943.9	1287.6	1874.7	1322.5	1338.3	2393.8
MYOF	TE	TE.mid	6	3.5	18.6	5	13.2	32	9	22.9	26.1	10.2	17.2	24.8
PDGFA	TE	TE.mid	7.3	18.8	60.8	21.6	17.6	96.8	40.3	39.2	65.2	19.5	15.1	53.5
PRSS8	TE	TE.mid	0.2	3.4	83	26	32.2	182.6	123.1	176.2	265.2	94.3	67.7	257.3
PTGES	TE	TE.mid	0.9	114.7	467.4	39.9	83	566.1	112.7	109	259.8	69.7	51.6	176
RAB25	TE	TE.mid	12.2	3.7	99.1	39.4	51.8	248.1	87	91.5	163.8	65.2	53.7	98.5
S100A16	TE	TE.mid	11.6	158.7	1070.3	591	869.1	1556.1	493.6	686.2	1008.6	234.8	463.2	632.9
SLC12A3	TE	TE.mid	0	6.2	35	11.2	13.3	48.6	21.4	20.9	32.8	5	4	16.6
SLC7A5	TE	TE.mid	3.3	15.5	54.6	23.1	22.4	106.3	61.9	110.3	147.1	60.3	103.6	108.1
SUN3	TE	TE.mid	0	6.8	32.2	20.9	19.4	45.3	38.6	47.2	71.5	37.7	30.1	75
TET2	TE	TE.mid	5.1	12.5	31.5	9.7	22.4	44.9	13.2	23.7	34.7	13.1	16.7	25.2
TGFBR3	TE	TE.mid	1.8	9.4	18.5	4.8	6.1	34.1	14.4	21.9	33.7	8.9	10.2	20.6
